Company,Country,Sector,Industry
ICBC,China,Financials,Major Banks
China Construction Bank,China,Financials,Regional Banks
Berkshire Hathaway,United States,Financials,Investment Services
JPMorgan Chase,United States,Financials,Major Banks
Wells Fargo,United States,Financials,Major Banks
Agricultural Bank of China,China,Financials,Regional Banks
Bank of America,United States,Financials,Major Banks
Bank of China,China,Financials,Major Banks
Apple,United States,Information Technology,Computer Hardware
Toyota Motor,Japan,Consumer Discretionary,Auto & Truck Manufacturers
AT&T,United States,Telecommunication Services,Telecommunications services
Citigroup,United States,Financials,Major Banks
Exxon Mobil,United States,Energy,
General Electric,United States,Industrials,Conglomerates
Samsung Electronics,South Korea,Information Technology,Semiconductors
Ping An Insurance Group,China,Financials,Diversified Insurance
Wal-Mart Stores,United States,Consumer Discretionary,Discount Stores
Verizon Communications,United States,Telecommunication Services,Telecommunications services
Microsoft,United States,Information Technology,Software & Programming
Royal Dutch Shell,Netherlands,Energy,Oil & Gas Operations
Allianz,Germany,Financials,Diversified Insurance
China Mobile,Hong Kong,Telecommunication Services,Telecommunications services
BNP Paribas,France,Financials,Major Banks
Alphabet,United States,Information Technology,
China Petroleum & Chemical,China,Energy,
Total,France,Energy,Oil & Gas Operations
AXA Group,France,Financials,Diversified Insurance
Daimler,Germany,Consumer Discretionary,Auto & Truck Manufacturers
Volkswagen Group,Germany,Consumer Discretionary,Auto & Truck Manufacturers
Mitsubishi UFJ Financial,Japan,Financials,Major Banks
Comcast,United States,Consumer Discretionary,Broadcasting & Cable
Johnson & Johnson,United States,Health Care,Medical Equipment & Supplies
Banco Santander,Spain,Financials,Major Banks
Bank of Communications,China,Financials,Major Banks
Nestle,Switzerland,Consumer Staples,Food Processing
UnitedHealth Group,United States,Health Care,Managed Health Care
Nippon Telegraph & Tel,Japan,Telecommunication Services,Telecommunications services
Itaú Unibanco Holding,Brazil,Financials,
Softbank,Japan,Telecommunication Services,Telecommunications services
Gazprom,Russia,Energy,Oil & Gas Operations
General Motors,United States,Consumer Discretionary,Auto & Truck Manufacturers
China Merchants Bank,China,Financials,Major Banks
IBM,United States,Information Technology,Computer Services
